price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
79990,"weyon 32"" inches hd smart  tv",WEYON,WEYON Official Store-Sea-COD,60,https://www.jumia.com.ng/weyon-32-inches-hd-smart-tv-32wasn-1-year-warranty-black-142605040.html,4.7,32,hd,,no
128490,amani 43”inch 4k uhd  smart android wi-fi tv,Amani,cydone gas,74,https://www.jumia.com.ng/amani-43inch-4k-uhd-smart-android-wi-fi-tv-amani-at-promo-price-120935934.html,5.0,43,uhd,,yes
169900,tcl 43-inch android smart fhd tv,TCL,Clem Fortune,100,https://www.jumia.com.ng/tcl-43-inch-android-smart-fhd-tv-66399918.html,4.3,43,fhd,,yes
265000,hisense 55''smart uhd 4k tv,Hisense,F & G Electronics,86,https://www.jumia.com.ng/hisense-55smart-uhd-4k-tvbluetoothnetflixyoutubedstv-now-app-72247122.html,4.9,55,uhd,,no
222000,hisense 55''smart uhd 4k  framless tv,Hisense,Kendo,80,https://www.jumia.com.ng/hisense-55smart-uhd-4k-framless-tvnetflixyoutubebluetooth-70941355.html,0.0,55,uhd,,no
285599,"rock 43"" 4k smart android uhd led tv",Rock,Nature Colours,100,https://www.jumia.com.ng/rock-43-4k-smart-android-uhd-led-tv-free-wall-bracket-81948584.html,4.1,43,uhd,led,yes
223000,hisense 50''smart uhd 4k tv,Hisense,F & G Electronics,86,https://www.jumia.com.ng/hisense-50smart-uhd-4k-tvbluetoothnetflixyoutubedstv-now-app-72247116.html,4.6,50,uhd,,no
199999,"infinity 55"" inch 4k ultra-hd smart led android tv",Infinity,B AND Q COLLECTIBLES,74,https://www.jumia.com.ng/infinity-55-inch-4k-ultra-hd-smart-led-android-tv-free-wall-hanger-118562071.html,4.5,55,uhd,led,yes
199549,"infinity 55"" inch smart uhd 4k tv",Infinity,Video masters ltd,50,https://www.jumia.com.ng/infinity-55-inch-smart-uhd-4k-tv-2021-promo-free-wall-bracket-71288767.html,4.7,55,uhd,,no
179499,"infinity 50"" inch smart full hd 4k screen tv",Infinity,B AND Q COLLECTIBLES,74,https://www.jumia.com.ng/infinity-50-inch-smart-full-hd-4k-screen-tv-free-wall-hanger-106447511.html,4.4,50,fhd,,no
289000,hisense 58 inch 4k ultra hd smart tv,Hisense,Samsung and Sony online store,66,https://www.jumia.com.ng/hisense-58-inch-4k-ultra-hd-smart-tv-wall-bracket-98289261.html,4.7,58,uhd,,no
109000,hisense 32”high definition led smart tv,Hisense,Samsung and Sony online store,66,https://www.jumia.com.ng/hisense-32high-definition-led-smart-tv-with-wifi-102651208.html,4.0,32,hd,led,no
268200,hisense 55 inches smart 4k uhd tv,Hisense,Timeless,74,https://www.jumia.com.ng/hisense-55-inches-smart-4k-uhd-tv-free-wall-bracket-55a6h-a6-series-200039796.html,5.0,55,uhd,,no
122000,"rock 43"" 4k uhd smart led tv",Rock,Fresh-Tech,26,https://www.jumia.com.ng/rock-43-4k-uhd-smart-led-tv-free-wall-hanger-95661581.html,4.1,43,uhd,led,no
127490,vision 43” inches 4k uhd android smart tv,Vision,Globalmark,66,https://www.jumia.com.ng/vision-43-inches-4k-uhd-android-smart-tvfree-wall-bracket-r-89882898.html,4.2,43,uhd,,yes
290000,"polystar 65"" inch 4k uhd android smart tv",Polystar,OSAI-EMP CONSULT,66,https://www.jumia.com.ng/polystar-65-inch-4k-uhd-android-smart-tv-netflix-surge-protector-133251437.html,4.0,65,uhd,dled,yes
280990,"polystar 65"" inch andriod smart 4k full hd tv",Polystar,Timeless,74,https://www.jumia.com.ng/polystar-65-inch-andriod-smart-4k-full-hd-tv-83167410.html,4.5,65,uhd,,yes
258000,hisense 55 inches smart 4k uhd frameless tv,Hisense,Samsung and Sony online store,66,https://www.jumia.com.ng/hisense-55-inches-smart-4k-uhd-frameless-tv-73109556.html,4.7,55,uhd,,no
220000,hisense 50'' smart 4k uhd frameless smart tv,Hisense,Kendo,80,https://www.jumia.com.ng/hisense-50-smart-4k-uhd-frameless-smart-tv-wifi-netflixyoutubewall-bracket-82159694.html,5.0,50,uhd,,no
272500,hisense 58'' smart uhd 4k tv,Hisense,Kendo,80,https://www.jumia.com.ng/58smart-uhd-4k-tvnetflixyoutubedstv-now-app-58a7100-hisense-mpg1650550.html,4.5,58,uhd,,no
79699,"infinity 32"" inches smart full hd led tv",Infinity,PENNY PRICE ONLINE STORE,80,https://www.jumia.com.ng/infinity-32-inches-smart-full-hd-led-tv-with-1-year-warranty-79969625.html,3.7,32,fhd,led,no
